Country Name,1972-01-01 00:00:00,1973-01-01 00:00:00,1974-01-01 00:00:00,1975-01-01 00:00:00,1976-01-01 00:00:00,1977-01-01 00:00:00,1978-01-01 00:00:00,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00
Burundi,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.243051767,-2.336071252,-2.428836584,-2.290103436,-2.151370287,-2.271548536,-2.39139843,-2.305670738,-2.513827562,-1.514644861,-1.396649837,-1.3170681,-1.631292343,-1.267571449,-1.596097827,-1.784853339,-1.685397863,-1.310161352,-0.893656909,-0.893656909,-0.893656909,-0.893656909,-0.893656909,-0.893656909
Cabo Verde,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.944107831,0.985368143,1.026515722,1.074466884,1.122418046,0.88867782,0.655576229,0.907076597,1.067602158,0.781964123,0.96762532,0.901236534,0.828095973,0.842547596,0.857144117,0.723417044,0.809150875,0.773594141,0.407537848,0.407537848,0.407537848,0.407537848,0.407537848,0.407537848
Cambodia,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.147394657,-1.226420477,-1.305230379,-1.087379783,-0.869529188,-0.836991563,-0.80454284,-0.69805795,-0.427421451,-0.421250552,-0.380780071,-0.405373752,-0.335787594,-0.587342799,-0.54178232,-0.327254891,-0.139488846,-0.17201744,-0.039973695,-0.039973695,-0.039973695,-0.039973695,-0.039973695,-0.039973695
Cameroon,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-1.065714717,-0.945101027,-0.824816883,-0.695834637,-0.566852391,-0.644589258,-0.722113729,-0.470079631,-0.397756249,-0.176222757,-0.263517499,-0.337433755,-0.550778568,-0.482048452,-0.72685653,-0.661322892,-0.576565444,-0.530078471,-0.944601476,-0.944601476,-0.944601476,-0.944601476,-0.944601476,-0.944601476
Canada,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.15921855,1.027050391,0.895243347,0.998945147,1.102646947,1.12149274,1.140287042,1.029963255,0.845304012,0.790628552,0.994026661,0.965830743,1.005883217,1.096702099,0.903790534,1.061119199,1.089675784,1.029953837,1.176155448,1.176155448,1.176155448,1.176155448,1.176155448,1.176155448
Cayman Islands,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.649526198,0.652129173,0.647944748,0.643760324,0.680943204,0.718024492,0.824413538,1.298694968,1.235093474,1.158987641,1.153593898,1.16121912,1.120903373,1.202008963,1.384051681,1.003655434,1.06003809,1.108344555,1.108344555,1.108344555,1.108344555,1.108344555,1.108344555
Central African Republic,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.372483373,-1.331563779,-1.290755987,-1.293813825,-1.296871662,-1.590868611,-1.88406229,-1.590470791,-1.409353852,-1.42369175,-1.839425445,-1.829653621,-1.830097437,-1.882708549,-2.011910915,-1.784924269,-1.871964574,-2.179641962,-2.672609091,-2.672609091,-2.672609091,-2.672609091,-2.672609091,-2.672609091
Chad,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.098161459,-1.254188543,-1.409789324,-1.32926017,-1.248731017,-1.474327421,-1.699307442,-1.413475037,-1.495437503,-1.393231511,-1.809657693,-1.859990597,-1.970427275,-1.689200044,-1.512288094,-1.315071106,-1.056724668,-1.103432178,-1.533385873,-1.533385873,-1.533385873,-1.533385873,-1.533385873,-1.533385873
Chile,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.621233404,0.302147612,-0.016066361,0.208122527,0.432311416,0.716789135,1.000489593,0.745443642,0.677976131,0.851271451,0.582776725,0.400696754,0.414107054,0.592713416,0.674826026,0.459139913,0.342580885,0.37609157,0.494097382,0.494097382,0.494097382,0.494097382,0.494097382,0.494097382
China,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.166537702,-0.301313625,-0.435721308,-0.355319142,-0.274916977,-0.318136727,-0.36123839,-0.568740308,-0.360909134,-0.476680934,-0.543316126,-0.493296713,-0.480801672,-0.428204,-0.657177746,-0.606386006,-0.552419662,-0.546183765,-0.463141531,-0.463141531,-0.463141531,-0.463141531,-0.463141531,-0.463141531
