country,1972-01-01 00:00:00,1973-01-01 00:00:00,1974-01-01 00:00:00,1975-01-01 00:00:00,1976-01-01 00:00:00,1977-01-01 00:00:00,1978-01-01 00:00:00,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00
Algeria,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.049016943,1.200021489,1.008082589,1.570349194,1.681009485,1.632235248,1.476273125,1.743250446,1.951181518,1.999736248,2.082322856,2.101120706,2.114493708,1.75086942,1.754592762,1.726999349,1.787409333,0.078567967,0.159379572,0.234214635,0.211024295,-0.006515519,-0.161708274,-0.110885487,-0.110885487
East Asia & Pacific (excluding high income),-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-0.974110037,-0.947001717,-0.919967462,-1.077103122,-0.975322959,-0.818738069,-0.601831417,-0.284704902,-0.058185993,0.032945109,-0.09993584,0.041731133,-0.99880994,-0.954551301,-0.936564301,-0.889919599,-0.835763359,-0.845971132,-0.791914462,-0.791914462
Early-demographic dividend,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.679748341,-0.575405597,-0.556193845,-0.58331703,-0.28586796,-0.418780374,-0.254096485,-0.266155035,-0.368818303,-0.140752985,-0.058185993,-0.062701982,0.044295886,-0.093532608,-0.485772841,-0.752018415,-0.732950573,-0.739790886,-0.887591349,-0.688064319,-0.320432864,-0.320432864
East Asia & Pacific,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.021255023,-1.004464485,-1.153140585,-1.066996446,-0.965326193,-0.927744405,-0.94750623,-1.207717408,-1.241984894,-1.290262833,-1.405871249,-1.372327177,-1.420556593,-1.420556593
Europe & Central Asia (excluding high income),-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.76988584,-0.614709722,-0.634543724,-0.741639286,-0.812528596,-1.010320421,-0.540937441,-0.388399291,-0.255946491,-1.204024779,-1.207717408,-1.248841683,-1.289965958,-1.331090233,-1.372327177,-1.420556593,-1.420556593
Europe & Central Asia,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-0.860512568,-1.010320421,-1.0191729,-0.917248951,-0.883853631,-0.383165422,-0.144419757,-0.020302525,0.160981391,0.045312471,0.259376562,0.09866189,0.09866189
Ecuador,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-1.002932413,-0.928049777,-1.004464485,-1.105533863,-1.066996446,-1.013403434,-1.022702082,-0.684897094,-0.346166613,-0.008361625,0.329443363,0.667248352,0.46991898,0.4653698,0.4653698
"Egypt, Arab Rep.",-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.749173337,-0.131801749,-0.109791173,-0.013052775,0.105776315,0.032998603,-0.247057413,-0.15904806,0.020101458,0.061440098,0.102233653,0.143810548,0.291102765,0.322667778,-0.110525528,-0.244167565,-0.314871575,-0.537076551,-0.701385193,-0.580240277,-0.739790886,-0.783935369,-0.793335528,-0.844301307,-0.844301307
Euro area,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.275613058,-0.284704902,-0.386427203,-0.488428196,-0.590150497,-0.691872799,-0.7935951,-0.802651636,-0.682047141,-0.689747982,-0.472967429,-0.266979483,-0.320432864,-0.320432864
Eritrea,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.763085286,-0.617979466,-0.705609338,-0.793479291,-0.877694162,-0.813774023,-0.88516965,-0.726640897,-0.695036663,-0.572608735,-0.439039764,-0.301819712,-0.388399291,-0.63178029,1.720286682,1.627742996,1.557703868,1.612225615,1.755636142,1.785809092,1.722654062,1.722654062
