NS_code_from_gini,Nation_State,T_HDI_Mean_plus_5,T_HDI_Trend_plus_5,T_State_Fail_yr_1,T_State_Fail_plus_5,T_State_Fail_yr_5,year0,CWGI_Poli_Stabl_Mean_minus_4,CWGI_Poli_Stabl_Trend_minus_4,CWGI_RoL_Mean_minus_4,CWGI_RoL_Trend_minus_4,E_GINI_Mean_minus_4,E_GINI_Trend_minus_4,PCPI_std_Mean_minus_4,PCPI_std_Trend_minus_4,PWGI_Corrupt_Ctrl_Mean_minus_4,PWGI_Corrupt_Ctrl_Trend_minus_4,PWGI_Voice_Acct_Mean_minus_4,PWGI_Voice_Acct_Trend_minus_4
EGY,"Egypt, Arab Rep.",0.69775,0.0019,1,1,,2015,-1.524776001,-0.018665297,-0.503243672,-0.023000129,29.725,0.4965,-1.041011541,-0.169110388,-0.634548386,-0.016083159,-1.061987215,-0.051794194
SLV,El Salvador,0.66525,0.0017,0,,,2015,0.025827166,-0.05370502,-0.665696556,0.047690117,41.94,-0.36,-0.062066788,0.086139136,-0.292742769,0.015928812,0.020511537,0.032393581
GNQ,Equatorial Guinea,0.5895,-0.0014,0,,,2015,0.032269026,-0.047431329,-1.296982318,-0.033698529,50.2,0,-0.34653681,0.338082636,-1.638473874,-0.069313376,-1.945923257,-0.029145861
ERI,Eritrea,0.43325,0.0003,0,,,2015,-0.736823678,0.015518236,-1.424364117,-0.075505462,39,-7.27596E-12,0.555230546,0.276871203,-0.774498999,-0.107411945,-2.192491063,-0.041960248
EST,Estonia,0.8795,0.0024,0,,,2015,0.658936974,0.027172354,1.239920827,0.068567773,33.56,0.21,-0.189749923,-0.318359793,1.106305511,0.092229237,1.127613261,0.014099708
SWZ,Eswatini,0.60375,0.0041,0,,,2015,-0.439946265,0.022692077,-0.421676664,0.010430034,50.22951472,-0.396977707,-1.010895808,-0.098982227,-0.349380868,-0.018834632,-1.200874913,0.001567733
ETH,Ethiopia,0.46675,0.0033,1,1,,2015,-1.474514649,-0.015548382,-0.593939449,0.048398609,33.32272964,0.838864819,1.751703161,0.595866225,-0.548646429,0.047980589,-1.30126385,-0.001446896
FJI,Fiji,0.72175,0.0021,0,,,2015,0.036771867,0.028110131,-0.778494852,0.012585045,37.84390547,0.130834969,-0.405099897,-0.001521153,-0.401976217,-0.002206455,-0.716960839,0.109365919
FIN,Finland,0.924,0.001,0,,,2015,1.358319678,-0.005418812,1.986938788,0.0244375,27.16,-0.13,1.61419834,-0.252149426,2.208015958,-0.002344044,1.576964658,-0.001363188
FRA,France,0.88975,0.0013,0,,,2015,0.469570638,-0.05664473,1.439058987,0.007491771,32.78,-0.2,1.667377703,0.118323591,1.385892486,-0.037292136,1.211323028,0.016119557
