country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BOL,-2.234186023,-2.188057,-2.141927976,-2.095798953,-2.049669929,-2.003540906,-1.957411882,-1.911282858,-1.865153835,-1.819024811,-1.772895788,-1.726766764,-1.680637741,-1.634508717,-1.588379694,-1.54225067,-1.496121646,-1.449992623,-1.403863599,-1.357734576,-1.311605552,-1.265476529,-1.219347505,-1.173218482,-0.756943269,-1.42728525,-0.888090705,-0.915996552,-0.892875244,-1.17177136,-1.004514063,-0.857662206,-0.88516965,-0.726640897,-0.64843404,-0.524624763,-0.486646485,-0.636584533,-0.580708258,-0.614788984,-0.024039453,-0.043153314,-0.020302525,-0.239361843,-0.161999489,-0.319615087,-0.425206553,-0.066121916
BRA,-3.514661504,-3.408830017,-3.30299853,-3.197167043,-3.091335556,-2.985504069,-2.879672582,-2.773841095,-2.668009608,-2.56217812,-2.456346633,-2.350515146,-2.244683659,-2.138852172,-2.033020685,-1.927189198,-1.821357711,-1.715526224,-1.609694737,-1.50386325,-1.398031763,-1.292200276,-1.186368788,-1.281088342,-0.927789399,-0.828424306,-0.38806903,-0.234814641,-0.387853146,-0.331122317,-0.24359466,-0.155451275,-0.118866521,-0.174057863,-0.368818303,-0.236720929,-0.248612878,-0.158349074,-0.148013082,-0.130271215,1.668982972,1.627742996,1.557703868,1.242046085,0.926388302,1.312088652,1.303559308,1.459418388
BRB,3.068398403,3.020268847,2.972139291,2.924009735,2.875880179,2.827750624,2.779621068,2.731491512,2.683361956,2.6352324,2.587102845,2.538973289,2.490843733,2.442714177,2.394584622,2.346455066,2.29832551,2.250195954,2.202066398,2.153936843,2.105807287,2.057677731,2.009548175,1.96141862,1.913289064,1.865159508,1.817029952,1.768900396,1.720770841,1.672641285,1.624511729,1.576382173,1.413739737,1.299496892,1.215670873,1.394734125,1.41762237,1.611122124,1.823153833,1.786842796,0.591605066,0.868244673,0.835797893,0.803351112,0.770904332,0.996275025,1.041625087,0.806309281
BRN,-2.152745695,-2.077000446,-2.001255197,-1.925509948,-1.849764699,-1.77401945,-1.698274201,-1.622528952,-1.546783703,-1.471038453,-1.395293204,-1.319547955,-1.243802706,-1.168057457,-1.092312208,-1.016566959,-0.94082171,-0.865076461,-0.789331212,-0.713585963,-0.637840714,-0.562095465,-0.486350216,-0.410604967,-0.334859718,-0.259114469,-0.18336922,-0.107623971,-0.031878721,0.043866528,0.119611777,0.195357026,0.271102275,0.346847524,0.422592773,0.498338022,0.574083271,0.702474752,0.717377271,0.556708155,1.002034744,1.020144338,1.09957298,1.111796572,1.133700262,1.259453047,1.303559308,1.40728101
BTN,-0.500421678,-0.466828158,-0.433234638,-0.399641118,-0.366047598,-0.332454077,-0.298860557,-0.265267037,-0.231673517,-0.198079996,-0.164486476,-0.130892956,-0.097299436,-0.063705915,-0.030112395,0.003481125,0.037074645,0.070668166,0.104261686,0.137855206,0.171448726,0.205042247,0.238635767,0.272229287,0.305822807,0.339416327,0.373009848,0.406603368,0.440196888,0.473790408,0.507383929,0.540977449,0.574570969,0.608164489,0.889452513,0.483038653,0.560701385,0.463357022,0.813531755,0.813119671,1.104642164,1.070777559,0.997766116,1.011710763,0.874560312,0.94363942,0.936851398,1.078473773
BWA,3.745347901,3.645427175,3.545506449,3.445585723,3.345664997,3.245744271,3.145823545,3.045902819,2.945982093,2.846061367,2.746140641,2.646219915,2.546299189,2.446378462,2.346457736,2.24653701,2.146616284,2.046695558,1.946774832,1.846854106,1.74693338,1.647012654,1.547091928,1.447171202,1.347250476,1.24732975,0.4869689,0.616662749,0.495935526,0.509526725,0.770964543,0.634536023,0.827743227,0.839011031,0.703042022,0.674974542,0.846341714,0.750298298,0.861608997,0.973934598,-0.89620252,-0.903918079,-0.987467734,-0.939962503,-1.198559289,-1.05651355,-0.896688151,-0.950926224
CAF,-12.75194269,-12.41677851,-12.08161433,-11.74645015,-11.41128598,-11.0761218,-10.74095762,-10.40579344,-10.07062927,-9.735465088,-9.40030091,-9.065136732,-8.729972555,-8.394808377,-8.059644199,-7.724480022,-7.389315844,-7.054151666,-6.718987488,-6.383823311,-6.048659133,-5.713494955,-5.378330778,-5.0431666,-4.708002422,-4.372838244,-4.037674067,-3.702509889,-3.367345711,-3.032181533,-2.697017356,-2.361853178,-2.026689,-1.691524823,-0.788241909,-0.956480512,-0.962713699,-0.971349354,-0.917248951,-0.879751273,2.079412651,1.931542325,1.914027892,2.012568849,2.014776092,2.048987115,1.984588283,3.000773666
CAN,0.726938227,0.76335856,0.799778893,0.836199227,0.87261956,0.909039893,0.945460226,0.981880559,1.018300893,1.054721226,1.091141559,1.127561892,1.163982226,1.200402559,1.236822892,1.273243225,1.309663558,1.346083892,1.382504225,1.418924558,1.455344891,1.491765224,1.528185558,1.168102392,1.401930552,1.367399156,1.778691559,1.936452702,1.842661122,1.728467838,1.870070347,1.951181518,1.954659593,1.990225684,2.054518084,2.258445624,2.226936634,2.232828221,2.352003493,2.217523287,2.182020071,2.134075211,2.168545052,2.162697562,2.222088052,2.206893928,2.19413566,2.438693888
CHE,1.772767667,1.771927371,1.771087074,1.770246777,1.769406481,1.768566184,1.767725888,1.766885591,1.766045295,1.765204998,1.764364702,1.763524405,1.762684109,1.761843812,1.761003516,1.760163219,1.759322922,1.758482626,1.757642329,1.756802033,1.755961736,1.75512144,1.754281143,1.124437727,1.32427322,1.167778841,1.65368614,1.808731094,1.590150073,1.518305577,1.658703846,1.995069702,2.225119521,2.312565787,2.33413382,2.402397541,2.369756798,2.376298858,2.25584901,2.279457438,1.463768133,1.42521011,1.506800436,1.362011093,1.185528252,1.259453047,1.251172464,1.73327373
CHL,2.416583725,2.368473865,2.320364005,2.272254145,2.224144285,2.176034425,2.127924565,2.079814705,2.031704845,1.983594985,1.935485125,1.887375265,1.839265405,1.791155545,1.743045685,1.694935825,1.646825965,1.598716105,1.550606245,1.502496385,1.454386525,1.406276665,1.358166805,0.7989375,0.56323137,0.169677268,0.77864821,0.957253704,1.085127975,1.140013508,1.235970845,1.380635137,1.458816392,1.483691237,1.49528661,1.442718097,1.370015649,1.276357303,1.534690382,1.518410829,-0.229254292,-0.144419757,-0.376626549,-0.289404748,-0.161999489,-0.109072669,-0.215659176,0.155420306
CHN,-1.361299481,-1.337661776,-1.314024071,-1.290386366,-1.266748661,-1.243110956,-1.21947325,-1.195835545,-1.17219784,-1.148560135,-1.12492243,-1.101284725,-1.07764702,-1.054009315,-1.03037161,-1.006733905,-0.9830962,-0.959458495,-0.93582079,-0.912183085,-0.88854538,-0.864907675,-0.84126997,-1.49544215,-1.133581328,-1.107892747,-0.596411395,-0.532831727,-0.724534544,-0.541284578,-0.454961161,-0.374892191,-0.344249794,-0.404300794,-0.368818303,-0.236720929,-0.201006157,-0.20617262,-0.244167565,-0.196672474,-0.74229139,-0.802651636,-0.580240277,-0.539619269,-0.472967429,-0.372250692,-0.425206553,-0.250327343
