Country Name,1972-01-01 00:00:00,1973-01-01 00:00:00,1974-01-01 00:00:00,1975-01-01 00:00:00,1976-01-01 00:00:00,1977-01-01 00:00:00,1978-01-01 00:00:00,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00
Kenya,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.042098165,-1.083347465,-1.124484062,-1.010621101,-0.896758139,-0.904928312,-0.913076162,-0.890714824,-0.857640266,-0.897472858,-0.887235224,-0.969965577,-1.017424107,-1.050640821,-0.993409097,-0.953593612,-0.865690887,-0.747327447,-0.45067662,-0.45067662,-0.45067662,-0.45067662,-0.45067662,-0.45067662
Kiribati,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.77453649,0.462760161,0.15183568,0.37902844,0.606221199,0.630457908,0.654628396,0.33491835,0.362761706,0.744163156,0.864724576,0.792118192,0.413974911,0.181445211,0.065452948,0.084140956,0.111206345,0.140145823,-0.152370706,-0.152370706,-0.152370706,-0.152370706,-0.152370706,-0.152370706
"Korea, Dem. Rep.",-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89070195,-0.89184503,-0.892984986,-0.876384974,-0.859784961,-0.997996555,-1.135830522,-0.981387198,-1.165109992,-1.003164053,-1.27560389,-1.083006501,-1.058305144,-1.248054743,-1.298456192,-1.315148592,-1.252846003,-1.286010861,-1.537085414,-1.537085414,-1.537085414,-1.537085414,-1.537085414,-1.537085414
"Korea, Rep.",0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.752494812,0.742036927,0.731607616,0.781000912,0.830394208,0.872654742,0.914799809,0.780629873,0.912568092,0.966759861,0.838609099,1.018241882,0.852467418,0.977707624,0.990096569,1.023026943,0.968832314,0.937384367,0.980258405,0.980258405,0.980258405,0.980258405,0.980258405,0.980258405
Kosovo,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-1.064733267,-0.955800295,-0.988627493,-0.91201818,-0.784532189,-0.602191865,-0.631458342,-0.644690335,-0.563902557,-0.563283801,-0.569801331,-0.480308056,-0.480308056,-0.480308056,-0.480308056,-0.480308056,-0.480308056
Kuwait,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.596799672,0.599715849,0.602624059,0.59149316,0.58036226,0.590711307,0.601032078,0.561332822,0.520790339,0.598379374,0.575888157,0.646209359,0.62375778,0.613163114,0.603420496,0.545569539,0.384552956,0.387613684,0.049726933,0.049726933,0.049726933,0.049726933,0.049726933,0.049726933
Kyrgyz Republic,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.762578011,-0.751692653,-0.740837038,-0.808657557,-0.876478076,-0.816988141,-0.757660747,-0.743768215,-0.807892799,-1.12444222,-1.307164431,-1.280713558,-1.365946174,-1.316930532,-1.282061458,-1.233550906,-1.151353002,-1.138603806,-0.936074555,-0.936074555,-0.936074555,-0.936074555,-0.936074555,-0.936074555
Lao PDR,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.978860319,-0.916533828,-0.854377627,-0.900117904,-0.945858181,-1.020937639,-1.095811963,-1.23560524,-1.065037251,-1.11592567,-0.972070217,-0.913881242,-0.830349624,-1.004714727,-0.924176991,-0.946671009,-0.828194797,-0.769388676,-0.70615983,-0.70615983,-0.70615983,-0.70615983,-0.70615983,-0.70615983
Latvia,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.033901989,0.106023088,0.177947134,0.156697877,0.13544862,0.208345318,0.281042844,0.564843059,0.584030211,0.58962363,0.639041364,0.710226715,0.786259353,0.798271358,0.775623977,0.750415206,0.758241773,0.745874822,0.865092278,0.865092278,0.865092278,0.865092278,0.865092278,0.865092278
Lebanon,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.244985998,-0.275153961,-0.305239499,-0.21969524,-0.134150982,-0.20079171,-0.267250359,-0.371094465,-0.226148725,-0.303046167,-0.63106817,-0.707361996,-0.680332661,-0.68888253,-0.689991891,-0.664918542,-0.75154686,-0.776296437,-0.758621871,-0.758621871,-0.758621871,-0.758621871,-0.758621871,-0.758621871
Lesotho,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,-0.001705557,0.053313555,0.108182341,0.073176585,0.038170829,0.017463977,-0.0031863,-0.013725368,-0.153110743,-0.165587857,-0.257754117,-0.341895938,-0.261757612,-0.230560586,-0.300461859,-0.272893757,-0.286636561,-0.261203766,-0.221813604,-0.221813604,-0.221813604,-0.221813604,-0.221813604,-0.221813604
Liberia,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.229847193,-2.170547179,-2.111409187,-2.112545967,-2.113682747,-1.984284116,-1.855239034,-1.694873095,-1.705242395,-1.36582315,-0.865661979,-1.012279034,-1.189658284,-1.081171393,-1.011724353,-0.968918502,-0.924505055,-0.924866855,-0.844522476,-0.844522476,-0.844522476,-0.844522476,-0.844522476,-0.844522476
Libya,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.058829069,-1.021320391,-0.983914196,-0.910421997,-0.836929798,-0.93281977,-1.028447747,-0.79423815,-0.812646627,-0.872095644,-0.990187049,-0.81170553,-0.704012632,-0.847853661,-0.939259768,-1.175959468,-1.148038268,-1.363171816,-1.522714853,-1.522714853,-1.522714853,-1.522714853,-1.522714853,-1.522714853
Liechtenstein,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.45658648,1.483196252,1.509733319,1.50487566,1.500018001,1.495628261,1.491250515,1.243669868,1.102769971,1.02079916,1.153183579,1.450313449,1.459655404,1.607437015,1.619127035,1.621930242,1.603430629,1.585676193,1.754817724,1.754817724,1.754817724,1.754817724,1.754817724,1.754817724
Lithuania,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.359206617,0.418576523,0.477784216,0.358852684,0.239921153,0.296838166,0.353599668,0.485318989,0.583715379,0.583719969,0.663591385,0.671712875,0.679305375,0.696624577,0.754721165,0.756744802,0.807141662,0.791025579,0.906438351,0.906438351,0.906438351,0.906438351,0.906438351,0.906438351
Luxembourg,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.683952212,1.730446854,1.776814461,1.78870219,1.800589919,1.828731775,1.856796741,1.842010379,1.878420353,1.825221062,1.682527184,1.750404835,1.800189972,1.817439198,1.831422806,1.801834464,1.77369833,1.787644982,1.895609498,1.895609498,1.895609498,1.895609498,1.895609498,1.895609498
"Macao SAR, China",0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.149350896,0.159805872,0.170232281,0.160650417,0.151068553,0.414875284,0.67796123,1.204051971,1.385420799,0.775823116,0.500251949,0.34944576,0.450402915,0.684038162,0.704132676,0.690139174,0.638170123,0.62989074,0.928923309,0.928923309,0.928923309,0.928923309,0.928923309,0.928923309
"Macedonia, FYR",-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.41171211,-0.445973456,-0.480141193,-0.569715396,-0.659289598,-0.646906118,-0.634556472,-0.559734285,-0.24643366,-0.368526012,-0.560267031,-0.456885368,-0.3714917,-0.273028731,-0.290101975,-0.260328144,-0.23732844,-0.200966537,-0.034766175,-0.034766175,-0.034766175,-0.034766175,-0.034766175,-0.034766175
Madagascar,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.527219832,-0.552444884,-0.577601016,-0.414821282,-0.252041548,-0.25976782,-0.267472982,-0.203116,-0.201406255,-0.325142443,-0.428926736,-0.374083817,-0.454115897,-0.726701617,-0.853505194,-0.861003757,-0.901443422,-0.899805188,-0.742408931,-0.742408931,-0.742408931,-0.742408931,-0.742408931,-0.742408931
Malawi,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.453505844,-0.464985302,-0.476433396,-0.489586264,-0.502739131,-0.486466096,-0.470237523,-0.249737918,-0.122590192,-0.122512504,-0.248552918,-0.186217993,-0.137720138,-0.123376377,-0.142399654,-0.175880253,-0.241786957,-0.187442064,-0.298211873,-0.298211873,-0.298211873,-0.298211873,-0.298211873,-0.298211873
